Z,q,Binding Energy (eV)
60,+8,261150
60,+9,261010
60,+10,260860
60,+11,260690
60,+12,260500
60,+13,260280
60,+14,260030
60,+15,259650
60,+16,259230
60,+17,258770
60,+18,258280
60,+19,257760
60,+20,257190
60,+21,256600
60,+22,255950
60,+23,255280
60,+24,254560
60,+25,253710
60,+26,252820
60,+27,251870
60,+28,250890
60,+29,249840
60,+30,248750
60,+31,247560
60,+32,246320
60,+33,244190
60,+34,241970
60,+35,239650
60,+36,237220
60,+37,234690
60,+38,232070
60,+39,229310
60,+40,226440
60,+41,223470
60,+42,220390
60,+43,217020
60,+44,213560
60,+45,209990
60,+46,206330
60,+47,202440
60,+48,198450
60,+49,194250
60,+50,189940
60,+51,180200
60,+52,170201
60,+53,159912
60,+54,149358
60,+55,137973
60,+56,126279
60,+57,114197.03
60,+58,101855.37
60,+59,51515.78
61,0,272380
61,+1,272370
61,+2,272360
61,+3,272340
61,+4,272290
61,+5,272230
61,+6,272150
61,+7,272050
61,+8,271930
61,+9,271800
61,+10,271640
61,+11,271460
61,+12,271270
61,+13,271030
61,+14,270780
61,+15,270520
61,+16,270090
61,+17,269630
61,+18,269130
61,+19,268600
61,+20,268030
61,+21,267420
61,+22,266760
61,+23,266080
61,+24,265350
61,+25,264580
61,+26,263660
61,+27,262710
61,+28,261710
61,+29,260680
61,+30,259560
61,+31,258400
61,+32,257140
61,+33,255830
61,+34,253580
61,+35,251230
61,+36,248790
61,+37,246250
61,+38,243590
61,+39,240840
61,+40,237940
61,+41,234950
61,+42,231840
61,+43,228610
61,+44,225090
61,+45,221490
61,+46,217770
61,+47,213950
61,+48,209890
61,+49,205730
61,+50,201360
61,+51,196870
61,+52,186770
61,+53,176390
61,+54,165717
61,+55,154774
61,+56,142956
61,+57,130819
61,+58,118287.87
61,+59,105490.60
61,+60,53346.31
62,0,283450
62,+1,283450
62,+2,283440
62,+3,283420
62,+4,283380
62,+5,283320
62,+6,283230
62,+7,283120
62,+8,283010
62,+9,282860
62,+10,282710
62,+11,282520
62,+12,282310
62,+13,282080
62,+14,281820
62,+15,281540
62,+16,281230
62,+17,280760
62,+18,280250
62,+19,279720
62,+20,279140
62,+21,278520
62,+22,277860
62,+23,277150
62,+24,276410
62,+25,275630
62,+26,274810
62,+27,273830
62,+28,272810
62,+29,271760
62,+30,270660
62,+31,269480
62,+32,268250
62,+33,266930
62,+34,265540
62,+35,263170
62,+36,260700
62,+37,258140
62,+38,255460
62,+39,252680
62,+40,249790
62,+41,246750
62,+42,243620
62,+43,240370
62,+44,237010
62,+45,233340
62,+46,229570
62,+47,225700
62,+48,221730
62,+49,217510
62,+50,213170
62,+51,208620
62,+52,203970
62,+53,193460
62,+54,182700
62,+55,171644
62,+56,160308
62,+57,148043
62,+58,135455
62,+59,122463.27
62,+60,109200.42
62,+61,55214.30
63,0,294810
63,+1,294800
63,+2,294780
63,+3,294760
63,+4,294720
63,+5,294660
63,+6,294560
63,+7,294460
63,+8,294340
63,+9,294200
63,+10,294040
63,+11,293850
63,+12,293640
63,+13,293400
63,+14,293140
63,+15,292850
63,+16,292540
63,+17,292190
63,+18,291690
63,+19,291130
63,+20,290530
63,+21,289910
63,+22,289240
63,+23,288540
63,+24,287780
63,+25,286990
63,+26,286140
63,+27,285260
63,+28,284220
63,+29,283160
63,+30,282030
63,+31,280860
63,+32,279610
63,+33,278310
63,+34,276910
63,+35,275460
63,+36,272950
63,+37,270360
63,+38,267670
63,+39,264860
63,+40,261940
63,+41,258930
63,+42,255750
63,+43,252480
63,+44,249080
63,+45,245580
63,+46,241740
63,+47,237830
63,+48,233800
63,+49,229670
63,+50,225270
63,+51,220750
63,+52,216020
63,+53,211180
63,+54,200310
63,+55,189150
63,+56,177694
63,+57,165955
63,+58,153237
63,+59,140188
63,+60,126725.14
63,+61,112986.56
63,+62,57120.64
64,0,306410
64,+1,306410
64,+2,306400
64,+3,306380
64,+4,306340
64,+5,306280
64,+6,306180
64,+7,306080
64,+8,305960
64,+9,305810
64,+10,305650
64,+11,305460
64,+12,305250
64,+13,305000
64,+14,304740
64,+15,304440
64,+16,304130
64,+17,303770
64,+18,303390
64,+19,302830
64,+20,302220
64,+21,301590
64,+22,300910
64,+23,300190
64,+24,299430
64,+25,298620
64,+26,297770
64,+27,296870
64,+28,295940
64,+29,294830
64,+30,293690
64,+31,292500
64,+32,291280
64,+33,289950
64,+34,288590
64,+35,287100
64,+36,285570
64,+37,282940
64,+38,280230
64,+39,277400
64,+40,274460
64,+41,271410
64,+42,268250
64,+43,264940
64,+44,261520
64,+45,257970
64,+46,254300
64,+47,250320
64,+48,246250
64,+49,242050
64,+50,237760
64,+51,233190
64,+52,228490
64,+53,223580
64,+54,218560
64,+55,207280
64,+56,195730
64,+57,183870
64,+58,171721
64,+59,158539
64,+60,145017
64,+61,131074.02
64,+62,116849.45
64,+63,59065.54
65,0,318330
65,+1,318330
65,+2,318320
65,+3,318290
65,+4,318260
65,+5,318190
65,+6,318090
65,+7,317990
65,+8,317870
65,+9,317720
65,+10,317560
65,+11,317370
65,+12,317150
65,+13,316900
65,+14,316630
65,+15,316330
65,+16,316010
65,+17,315650
65,+18,315250
65,+19,314830
65,+20,314230
65,+21,313570
65,+22,312870
65,+23,312140
65,+24,311370
65,+25,310560
65,+26,309690
65,+27,308780
65,+28,307830
65,+29,306840
65,+30,305670
65,+31,304460
65,+32,303200
65,+33,301900
65,+34,300510
65,+35,299060
65,+36,297510
65,+37,295900
65,+38,293150
65,+39,290300
65,+40,287330
65,+41,284260
65,+42,281070
65,+43,277760
65,+44,274320
65,+45,270730
65,+46,267040
65,+47,263230
65,+48,259090
65,+49,254850
65,+50,250490
65,+51,246030
65,+52,241270
65,+53,236390
65,+54,231290
65,+55,226070
65,+56,214390
65,+57,202440
65,+58,190170
65,+59,177610
65,+60,163949
65,+61,149946
65,+62,135512.2
65,+63,120791.2
65,+64,61050.1
66,0,330600
66,+1,330600
66,+2,330500
66,+3,330500
66,+4,330500
66,+5,330400
66,+6,330300
66,+7,330200
66,+8,330080
66,+9,329930
66,+10,329760
66,+11,329570
66,+12,329350
66,+13,329090
66,+14,328810
66,+15,328510
66,+16,328170
66,+17,327810
66,+18,327420
66,+19,326980
66,+20,326510
66,+21,325860
66,+22,325150
66,+23,324400
66,+24,323620
66,+25,322790
66,+26,321920
66,+27,321000
66,+28,320030
66,+29,319010
66,+30,317960
66,+31,316720
66,+32,315450
66,+33,314130
66,+34,312750
66,+35,311290
66,+36,309760
66,+37,308130
66,+38,306440
66,+39,303550
66,+40,300560
66,+41,297460
66,+42,294250
66,+43,290920
66,+44,287470
66,+45,283860
66,+46,280140
66,+47,276290
66,+48,272320
66,+49,268020
66,+50,263620
66,+51,259090
66,+52,254450
66,+53,249520
66,+54,244450
66,+55,239150
66,+56,233740
66,+57,221660
66,+58,209290
66,+59,196600
66,+60,183610
66,+61,169470
66,+62,154974
66,+63,140037.91
66,+64,124809.85
66,+65,63073.23
67,0,343100
67,+1,343100
67,+2,343100
67,+3,343000
67,+4,343000
67,+5,342900
67,+6,342800
67,+7,342700
67,+8,342600
67,+9,342400
67,+10,342300
67,+11,342100
67,+12,341800
67,+13,341580
67,+14,341290
67,+15,340980
67,+16,340650
67,+17,340270
67,+18,339870
67,+19,339420
67,+20,338950
67,+21,338440
67,+22,337720
67,+23,336960
67,+24,336170
67,+25,335330
67,+26,334450
67,+27,333520
67,+28,332540
67,+29,331510
67,+30,330430
67,+31,329300
67,+32,328000
67,+33,326660
67,+34,325260
67,+35,323820
67,+36,322270
67,+37,320670
67,+38,318960
67,+39,317190
67,+40,314160
67,+41,311040
67,+42,307800
67,+43,304440
67,+44,300970
67,+45,297380
67,+46,293620
67,+47,289740
67,+48,285720
67,+49,281590
67,+50,277130
67,+51,272550
67,+52,267860
67,+53,263060
67,+54,257920
67,+55,252670
67,+56,247170
67,+57,241560
67,+58,229060
67,+59,216280
67,+60,203160
67,+61,189750
67,+62,175100
67,+63,160103
67,+64,144655.33
67,+65,128909.56
67,+66,65137.13
68,0,355800
68,+1,355800
68,+2,355800
68,+3,355800
68,+4,355800
68,+5,355700
68,+6,355700
68,+7,355600
68,+8,355500
68,+9,355200
68,+10,355100
68,+11,354900
68,+12,354600
68,+13,354400
68,+14,354100
68,+15,353800
68,+16,353400
68,+17,353050
68,+18,352620
68,+19,352180
68,+20,351690
68,+21,351170
68,+22,350610
68,+23,349850
68,+24,349040
68,+25,348180
68,+26,347280
68,+27,346340
68,+28,345350
68,+29,344300
68,+30,343210
68,+31,342070
68,+32,340880
68,+33,339510
68,+34,338090
68,+35,336630
68,+36,335120
68,+37,333490
68,+38,331810
68,+39,330010
68,+40,328150
68,+41,324990
68,+42,321730
68,+43,318340
68,+44,314850
68,+45,311210
68,+46,307470
68,+47,303560
68,+48,299520
68,+49,295360
68,+50,291050
68,+51,286420
68,+52,281670
68,+53,276810
68,+54,271820
68,+55,266490
68,+56,261040
68,+57,255350
68,+58,249530
68,+59,236610
68,+60,223390
68,+61,209840
68,+62,195990
68,+63,180840
68,+64,165335
68,+65,149364.28
68,+66,133089.72
68,+67,67241.48
69,0,369000
69,+1,369000
69,+2,369000
69,+3,369000
69,+4,369000
69,+5,368900
69,+6,368700
69,+7,368600
69,+8,368500
69,+9,368400
69,+10,368200
69,+11,368000
69,+12,367700
69,+13,367500
69,+14,367100
69,+15,366900
69,+16,366500
69,+17,366100
69,+18,365700
69,+19,365200
69,+20,364700
69,+21,364200
69,+22,363600
69,+23,363000
69,+24,362200
69,+25,361340
69,+26,360430
69,+27,359480
69,+28,358480
69,+29,357420
69,+30,356320
69,+31,355150
69,+32,353950
69,+33,352700
69,+34,351250
69,+35,349760
69,+36,348220
69,+37,346620
69,+38,344920
69,+39,343160
69,+40,341270
69,+41,339330
69,+42,336030
69,+43,332620
69,+44,329090
69,+45,325430
69,+46,321660
69,+47,317770
69,+48,313690
69,+49,309490
69,+50,305160
69,+51,300700
69,+52,295890
69,+53,290970
69,+54,285920
69,+55,280760
69,+56,275230
69,+57,269580
69,+58,263680
69,+59,257650
69,+60,244310
69,+61,230660
69,+62,216670
69,+63,202370
69,+64,186710
69,+65,170670
69,+66,154167.04
69,+67,137352.70
69,+68,69387.45
70,0,382500
70,+1,382500
70,+2,382500
70,+3,382400
70,+4,382400
70,+5,382400
70,+6,382200
70,+7,382100
70,+8,382000
70,+9,381700
70,+10,381600
70,+11,381400
70,+12,381100
70,+13,380900
70,+14,380600
70,+15,380300
70,+16,379900
70,+17,379500
70,+18,379000
70,+19,378600
70,+20,378100
70,+21,377600
70,+22,377000
70,+23,376400
70,+24,375700
70,+25,374800
70,+26,373900
70,+27,372900
70,+28,371900
70,+29,370800
70,+30,369700
70,+31,368600
70,+32,367300
70,+33,366100
70,+34,364700
70,+35,363220
70,+36,361660
70,+37,360040
70,+38,358380
70,+39,356580
70,+40,354740
70,+41,352760
70,+42,350730
70,+43,347280
70,+44,343720
70,+45,340050
70,+46,336250
70,+47,332310
70,+48,328260
70,+49,324020
70,+50,319660
70,+51,315160
70,+52,310530
70,+53,305550
70,+54,300440
70,+55,295220
70,+56,289880
70,+57,284150
70,+58,278280
70,+59,272170
70,+60,265950
70,+61,252160
70,+62,238060
70,+63,223630
70,+64,208880
70,+65,192680
70,+66,176110
70,+67,159063.11
70,+68,141697.67
70,+69,71574.63
71,0,396300
71,+1,396300
71,+2,396100
71,+3,396100
71,+4,396100
71,+5,396000
71,+6,396000
71,+7,395900
71,+8,395800
71,+9,395500
71,+10,395400
71,+11,395100
71,+12,394900
71,+13,394600
71,+14,394300
71,+15,394000
71,+16,393600
71,+17,393300
71,+18,392800
71,+19,392300
71,+20,391800
71,+21,391300
71,+22,390700
71,+23,390100
71,+24,389300
71,+25,388700
71,+26,387700
71,+27,386700
71,+28,385700
71,+29,384600
71,+30,383500
71,+31,382300
71,+32,381100
71,+33,379800
71,+34,378400
71,+35,377000
71,+36,375400
71,+37,373800
71,+38,372100
71,+39,370300
71,+40,368500
71,+41,366500
71,+42,364500
71,+43,362300
71,+44,358700
71,+45,355040
71,+46,351220
71,+47,347250
71,+48,343180
71,+49,338960
71,+50,334560
71,+51,330020
71,+52,325360
71,+53,320550
71,+54,315380
71,+55,310100
71,+56,304690
71,+57,299160
71,+58,293240
71,+59,287160
71,+60,280840
71,+61,274380
71,+62,260160
71,+63,245610
71,+64,230720
71,+65,215510
71,+66,198780
71,+67,181660
71,+68,164055.3
71,+69,146127.2
71,+70,73804.35
72,0,410300
72,+1,410300
72,+2,410300
72,+3,410100
72,+4,410100
72,+5,410100
72,+6,410000
72,+7,409900
72,+8,409800
72,+9,409500
72,+10,409400
72,+11,409100
72,+12,408900
72,+13,408700
72,+14,408400
72,+15,408000
72,+16,407700
72,+17,407300
72,+18,406800
72,+19,406400
72,+20,405800
72,+21,405300
72,+22,404700
72,+23,404100
72,+24,403300
72,+25,402600
72,+26,401800
72,+27,400800
72,+28,399700
72,+29,398700
72,+30,397500
72,+31,396400
72,+32,395100
72,+33,393800
72,+34,392400
72,+35,391000
72,+36,389600
72,+37,387800
72,+38,386200
72,+39,384400
72,+40,382500
72,+41,380600
72,+42,378600
72,+43,376400
72,+44,374200
72,+45,370400
72,+46,366600
72,+47,362600
72,+48,358500
72,+49,354200
72,+50,349900
72,+51,345300
72,+52,340600
72,+53,335700
72,+54,330800
72,+55,325400
72,+56,319900
72,+57,314350
72,+58,308630
72,+59,302480
72,+60,296210
72,+61,289660
72,+62,282980
72,+63,268310
72,+64,253310
72,+65,237960
72,+66,222280
72,+67,205000
72,+68,187330
72,+69,169145.9
72,+70,150643.60
72,+71,76077.70
73,0,424500
73,+1,424500
73,+2,424500
73,+3,424500
73,+4,424500
73,+5,424400
73,+6,424400
73,+7,424300
73,+8,424000
73,+9,423900
73,+10,423800
73,+11,423500
73,+12,423300
73,+13,423000
73,+14,422800
73,+15,422400
73,+16,422000
73,+17,421700
73,+18,421200
73,+19,420700
73,+20,420200
73,+21,419600
73,+22,418900
73,+23,418300
73,+24,417700
73,+25,416800
73,+26,416100
73,+27,415200
73,+28,414200
73,+29,413100
73,+30,412000
73,+31,410800
73,+32,409500
73,+33,408200
73,+34,406800
73,+35,405300
73,+36,403800
73,+37,402300
73,+38,400600
73,+39,398700
73,+40,396900
73,+41,395000
73,+42,392900
73,+43,390800
73,+44,388600
73,+45,386200
73,+46,382400
73,+47,378400
73,+48,374200
73,+49,370000
73,+50,365500
73,+51,360900
73,+52,356200
73,+53,351400
73,+54,346300
73,+55,341200
73,+56,335600
73,+57,330000
73,+58,324200
73,+59,318300
73,+60,311900
73,+61,305400
73,+62,298700
73,+63,291760
73,+64,276620
73,+65,261160
73,+66,245340
73,+67,229180
73,+68,211340
73,+69,193090
73,+70,174335.1
73,+71,155246.63
73,+72,78394.63
74,0,438990
74,+1,438980
74,+2,438970
74,+3,438940
74,+4,438900
74,+5,438850
74,+6,438780
74,+7,438670
74,+8,438520
74,+9,438360
74,+10,438180
74,+11,437970
74,+12,437740
74,+13,437480
74,+14,437190
74,+15,436870
74,+16,436510
74,+17,436110
74,+18,435690
74,+19,435230
74,+20,434730
74,+21,434190
74,+22,433600
74,+23,432950
74,+24,432270
74,+25,431540
74,+26,430750
74,+27,429920
74,+28,429030
74,+29,427910
74,+30,426720
74,+31,425490
74,+32,424210
74,+33,422870
74,+34,421480
74,+35,420020
74,+36,418510
74,+37,416950
74,+38,415320
74,+39,413500
74,+40,411620
74,+41,409670
74,+42,407670
74,+43,405530
74,+44,403320
74,+45,400960
74,+46,398550
74,+47,394490
74,+48,390310
74,+49,386000
74,+50,381560
74,+51,376970
74,+52,372260
74,+53,367340
74,+54,362280
74,+55,357070
74,+56,351720
74,+57,346000
74,+58,340160
74,+59,334190
74,+60,328100
74,+61,321500
74,+62,314770
74,+63,307770
74,+64,300640
74,+65,285080
74,+66,269175
74,+67,252923
74,+68,236335
74,+69,217859
74,+70,198987
74,+71,179624.6
74,+72,159937.84
74,+73,80755.91
75,0,454200
75,+1,454200
75,+2,454200
75,+3,454200
75,+4,454000
75,+5,454000
75,+6,453900
75,+7,453900
75,+8,453700
75,+9,453500
75,+10,453400
75,+11,453200
75,+12,452900
75,+13,452700
75,+14,452300
75,+15,452000
75,+16,451700
75,+17,451300
75,+18,450800
75,+19,450300
75,+20,449800
75,+21,449200
75,+22,448600
75,+23,448000
75,+24,447200
75,+25,446500
75,+26,445700
75,+27,444900
75,+28,443900
75,+29,443000
75,+30,441800
75,+31,440500
75,+32,439300
75,+33,437900
75,+34,436400
75,+35,435100
75,+36,433400
75,+37,432000
75,+38,430200
75,+39,428600
75,+40,426600
75,+41,424600
75,+42,422700
75,+43,420600
75,+44,418300
75,+45,416100
75,+46,413600
75,+47,411100
75,+48,406900
75,+49,402600
75,+50,398100
75,+51,393400
75,+52,388700
75,+53,383900
75,+54,378800
75,+55,373400
75,+56,368100
75,+57,362500
75,+58,356700
75,+59,350600
75,+60,344400
75,+61,338100
75,+62,331300
75,+63,324300
75,+64,317200
75,+65,309800
75,+66,293700
75,+67,277300
75,+68,260520
75,+69,243390
75,+70,224390
75,+71,204970
75,+72,185016.4
75,+73,164719.0
75,+74,83162.41
76,0,469400
76,+1,469400
76,+2,469400
76,+3,469400
76,+4,469300
76,+5,469300
76,+6,469200
76,+7,469200
76,+8,469000
76,+9,468800
76,+10,468700
76,+11,468400
76,+12,468200
76,+13,467900
76,+14,467700
76,+15,467300
76,+16,466900
76,+17,466600
76,+18,466100
76,+19,465700
76,+20,465100
76,+21,464600
76,+22,463900
76,+23,463200
76,+24,462600
76,+25,461700
76,+26,461000
76,+27,460100
76,+28,459100
76,+29,458200
76,+30,457300
76,+31,455900
76,+32,454700
76,+33,453300
76,+34,451800
76,+35,450300
76,+36,448800
76,+37,447200
76,+38,445600
76,+39,443900
76,+40,442100
76,+41,440000
76,+42,438000
76,+43,435900
76,+44,433700
76,+45,431500
76,+46,429000
76,+47,426500
76,+48,423900
76,+49,419400
76,+50,415000
76,+51,410400
76,+52,405600
76,+53,400600
76,+54,395600
76,+55,390300
76,+56,384800
76,+57,379300
76,+58,373600
76,+59,367500
76,+60,361300
76,+61,354800
76,+62,348400
76,+63,341300
76,+64,334100
76,+65,326700
76,+66,319000
76,+67,302500
76,+68,285600
76,+69,268330
76,+70,250710
76,+71,231110
76,+72,211080
76,+73,190511.1
76,+74,169590.6
76,+75,85614.42
77,0,485000
77,+1,485000
77,+2,485000
77,+3,484900
77,+4,484900
77,+5,484900
77,+6,484800
77,+7,484700
77,+8,484700
77,+9,484500
77,+10,484300
77,+11,484000
77,+12,483800
77,+13,483500
77,+14,483300
77,+15,482900
77,+16,482500
77,+17,482200
77,+18,481700
77,+19,481300
77,+20,480700
77,+21,480200
77,+22,479600
77,+23,479000
77,+24,478200
77,+25,477500
77,+26,476600
77,+27,475700
77,+28,474700
77,+29,473900
77,+30,472800
77,+31,471800
77,+32,470400
77,+33,469000
77,+34,467500
77,+35,466100
77,+36,464600
77,+37,463000
77,+38,461200
77,+39,459500
77,+40,457700
77,+41,455900
77,+42,453800
77,+43,451600
77,+44,449400
77,+45,447200
77,+46,444700
77,+47,442300
77,+48,439500
77,+49,436800
77,+50,432300
77,+51,427600
77,+52,422800
77,+53,417800
77,+54,412700
77,+55,407500
77,+56,402100
77,+57,396500
77,+58,390700
77,+59,384800
77,+60,378500
77,+61,372100
77,+62,365500
77,+63,358800
77,+64,351500
77,+65,344100
77,+66,336400
77,+67,328600
77,+68,311400
77,+69,294100
77,+70,276300
77,+71,258170
77,+72,237960
77,+73,217310
77,+74,196112.6
77,+75,174556.0
77,+76,88113.6
78,0,500900
78,+1,500900
78,+2,500900
78,+3,500900
78,+4,500800
78,+5,500800
78,+6,500600
78,+7,500500
78,+8,500500
78,+9,500400
78,+10,500200
78,+11,500000
78,+12,499800
78,+13,499400
78,+14,499200
78,+15,498800
78,+16,498500
78,+17,498000
78,+18,497700
78,+19,497200
78,+20,496700
78,+21,496100
78,+22,495400
78,+23,494800
78,+24,494100
78,+25,493300
78,+26,492600
78,+27,491700
78,+28,490700
78,+29,489700
78,+30,488700
78,+31,487600
78,+32,486500
78,+33,485200
78,+34,483700
78,+35,482200
78,+36,480600
78,+37,479000
78,+38,477200
78,+39,475500
78,+40,473600
78,+41,471800
78,+42,469900
78,+43,467700
78,+44,465400
78,+45,463200
78,+46,460800
78,+47,458200
78,+48,455600
78,+49,452900
78,+50,450100
78,+51,445400
78,+52,440500
78,+53,435600
78,+54,430500
78,+55,425100
78,+56,419700
78,+57,414100
78,+58,408300
78,+59,402300
78,+60,396300
78,+61,389700
78,+62,383100
78,+63,376300
78,+64,369300
78,+65,361800
78,+66,354200
78,+67,346200
78,+68,338100
78,+69,320600
78,+70,302600
78,+71,284400
78,+72,265780
78,+73,244940
78,+74,223670
78,+75,201820.7
78,+76,179614.9
78,+77,90659.84
79,0,517100
79,+1,517100
79,+2,517100
79,+3,517100
79,+4,517000
79,+5,517000
79,+6,516900
79,+7,516900
79,+8,516800
79,+9,516600
79,+10,516400
79,+11,516300
79,+12,516000
79,+13,515800
79,+14,515400
79,+15,515200
79,+16,514800
79,+17,514400
79,+18,513900
79,+19,513400
79,+20,512900
79,+21,512400
79,+22,511800
79,+23,511200
79,+24,510400
79,+25,509700
79,+26,508800
79,+27,508000
79,+28,507100
79,+29,506100
79,+30,505000
79,+31,503900
79,+32,502800
79,+33,501500
79,+34,500000
79,+35,498500
79,+36,496900
79,+37,495300
79,+38,493600
79,+39,491800
79,+40,490000
79,+41,488100
79,+42,486100
79,+43,484200
79,+44,481900
79,+45,479600
79,+46,477200
79,+47,474700
79,+48,472100
79,+49,469400
79,+50,466600
79,+51,463600
79,+52,458600
79,+53,453700
79,+54,448500
79,+55,443200
79,+56,437800
79,+57,432200
79,+58,426300
79,+59,420300
79,+60,414100
79,+61,407900
79,+62,401100
79,+63,394300
79,+64,387300
79,+65,380100
79,+66,372400
79,+67,364500
79,+68,356300
79,+69,347900
79,+70,329900
79,+71,311400
79,+72,292700
79,+73,273500
79,+74,252060
79,+75,230140
79,+76,207638.6
79,+77,184770.4
79,+78,93254.62
80,0,533900
80,+1,533800
80,+2,533800
80,+3,533800
80,+4,533800
80,+5,533600
80,+6,533500
80,+7,533500
80,+8,533400
80,+9,533300
80,+10,533100
80,+11,532900
80,+12,532800
80,+13,532400
80,+14,532100
80,+15,531800
80,+16,531400
80,+17,531000
80,+18,530700
80,+19,530200
80,+20,529500
80,+21,529000
80,+22,528400
80,+23,527800
80,+24,527100
80,+25,526300
80,+26,525600
80,+27,524600
80,+28,523700
80,+29,522700
80,+30,521600
80,+31,520600
80,+32,519400
80,+33,518100
80,+34,516900
80,+35,515400
80,+36,513800
80,+37,512100
80,+38,510300
80,+39,508600
80,+40,506700
80,+41,504900
80,+42,502900
80,+43,500800
80,+44,498700
80,+45,496300
80,+46,494000
80,+47,491500
80,+48,488900
80,+49,486100
80,+50,483300
80,+51,480300
80,+52,477300
80,+53,472300
80,+54,467000
80,+55,461700
80,+56,456300
80,+57,450600
80,+58,444900
80,+59,438800
80,+60,432600
80,+61,426300
80,+62,419700
80,+63,412700
80,+64,405700
80,+65,398500
80,+66,391200
80,+67,383100
80,+68,374900
80,+69,366500
80,+70,357900
80,+71,339300
80,+72,320400
80,+73,301200
80,+74,281400
80,+75,259310
80,+76,236740
80,+77,213567.0
80,+78,190022.9
80,+79,95898.19
81,0,550900
81,+1,550900
81,+2,550700
81,+3,550700
81,+4,550700
81,+5,550600
81,+6,550600
81,+7,550500
81,+8,550400
81,+9,550200
81,+10,550100
81,+11,549900
81,+12,549700
81,+13,549500
81,+14,549100
81,+15,548900
81,+16,548500
81,+17,548000
81,+18,547600
81,+19,547100
81,+20,546600
81,+21,546000
81,+22,545400
81,+23,544800
81,+24,544200
81,+25,543300
81,+26,542600
81,+27,541700
81,+28,540700
81,+29,539700
81,+30,538700
81,+31,537600
81,+32,536400
81,+33,535100
81,+34,533900
81,+35,532500
81,+36,530900
81,+37,529200
81,+38,527400
81,+39,525700
81,+40,523800
81,+41,521800
81,+42,519900
81,+43,517800
81,+44,515700
81,+45,513400
81,+46,511100
81,+47,508500
81,+48,506000
81,+49,503300
81,+50,500400
81,+51,497500
81,+52,494400
81,+53,491200
81,+54,486000
81,+55,480700
81,+56,475100
81,+57,469500
81,+58,463700
81,+59,457600
81,+60,451400
81,+61,445000
81,+62,438500
81,+63,431700
81,+64,424600
81,+65,417300
81,+66,409900
81,+67,402300
81,+68,394100
81,+69,385700
81,+70,376900
81,+71,368100
81,+72,349000
81,+73,329500
81,+74,309700
81,+75,289500
81,+76,266710
81,+77,243460
81,+78,219609.4
81,+79,195375.3
81,+80,98592.12
82,0,568200
82,+1,568100
82,+2,568100
82,+3,568100
82,+4,568100
82,+5,568000
82,+6,568000
82,+7,567800
82,+8,567700
82,+9,567600
82,+10,567400
82,+11,567200
82,+12,567000
82,+13,566700
82,+14,566500
82,+15,566200
82,+16,565900
82,+17,565500
82,+18,565000
82,+19,564500
82,+20,564000
82,+21,563500
82,+22,562900
82,+23,562100
82,+24,561500
82,+25,560800
82,+26,559900
82,+27,559000
82,+28,558200
82,+29,557200
82,+30,556100
82,+31,555000
82,+32,553700
82,+33,552500
82,+34,551200
82,+35,549900
82,+36,548400
82,+37,546800
82,+38,545000
82,+39,543200
82,+40,541300
82,+41,539300
82,+42,537300
82,+43,535200
82,+44,533000
82,+45,530800
82,+46,528500
82,+47,525900
82,+48,523300
82,+49,520700
82,+50,518000
82,+51,515000
82,+52,511900
82,+53,508800
82,+54,505500
82,+55,500000
82,+56,494600
82,+57,488900
82,+58,482900
82,+59,477000
82,+60,470800
82,+61,464300
82,+62,457700
82,+63,450900
82,+64,444100
82,+65,436700
82,+66,429200
82,+67,421500
82,+68,413700
82,+69,405200
82,+70,396500
82,+71,387600
82,+72,378400
82,+73,358800
82,+74,338800
82,+75,318500
82,+76,297700
82,+77,274250
82,+78,250310
82,+79,225766.7
82,+80,200828.5
82,+81,101336.7
83,0,585800
83,+1,585800
83,+2,585800
83,+3,585800
83,+4,585700
83,+5,585700
83,+6,585600
83,+7,585600
83,+8,585500
83,+9,585200
83,+10,585100
83,+11,585000
83,+12,584700
83,+13,584500
83,+14,584200
83,+15,584000
83,+16,583600
83,+17,583200
83,+18,582700
83,+19,582200
83,+20,581700
83,+21,581200
83,+22,580600
83,+23,579900
83,+24,579300
83,+25,578500
83,+26,577600
83,+27,576800
83,+28,575900
83,+29,574900
83,+30,573800
83,+31,572700
83,+32,571600
83,+33,570300
83,+34,569000
83,+35,567600
83,+36,566100
83,+37,564600
83,+38,562900
83,+39,561000
83,+40,559200
83,+41,557200
83,+42,555100
83,+43,553100
83,+44,550900
83,+45,548600
83,+46,546300
83,+47,543900
83,+48,541200
83,+49,538600
83,+50,535700
83,+51,532900
83,+52,529900
83,+53,526700
83,+54,523300
83,+55,520000
83,+56,514400
83,+57,508600
83,+58,502800
83,+59,496700
83,+60,490500
83,+61,484200
83,+62,477500
83,+63,470600
83,+64,463700
83,+65,456500
83,+66,448900
83,+67,441300
83,+68,433400
83,+69,425400
83,+70,416600
83,+71,407700
83,+72,398400
83,+73,388900
83,+74,368900
83,+75,348300
83,+76,327400
83,+77,306100
83,+78,281900
83,+79,257300
83,+80,232042.1
83,+81,206385.2
83,+82,104133.4
84,0,603900
84,+1,603900
84,+2,603900
84,+3,603800
84,+4,603800
84,+5,603800
84,+6,603700
84,+7,603600
84,+8,603400
84,+9,603300
84,+10,603200
84,+11,602900
84,+12,602700
84,+13,602600
84,+14,602300
84,+15,601900
84,+16,601700
84,+17,601200
84,+18,600800
84,+19,600300
84,+20,599800
84,+21,599200
84,+22,598700
84,+23,598000
84,+24,597400
